,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Exit Target,LP Tag,Entity Type,Stage,Sector Focus,Sectors Avoided,Typical Cheque Size,Min Cheque Size,Max Cheque Size,Fund Contacts,Investments,Website,Location,,,Investor Notes,Interactions (Blume),Introductions (Startups),Lead flag,Impact/ESG flag,Connected?,Conflicts / Common Cos,Status,Priority,Sector Grouping
Schroders Global,"TG 1 ($100-500M),TG 2 ($500M+)",,Venture Capital,"""Growth (C,D)"",Late Growth (>$500M),""Early (A,B)"",""Mid (B,C)""","Consumer,Software & Technology,BFSI & Fintech,Healthcare & Lifesciences,EV & Mobility",,,,,Param Viswanathan,"Agrostar,Firstcry,Locus Robotics",https://www.schroders.com/en/global/individual/,London,,,"LSE-listed global asset & wealth manager with $1,000 Bn AUM across all asset classes. 
Has PE and VC arms under Schroders Capital.",,23-05-23 | Schroders Global?BatterySmart,checked,,checked,Locus Robotics?Grey Orange,,,Diversified
Sea Capital / Composite Capital,TG 1 ($100-500M),,Private Equity,"""Mid (B,C)"",""Growth (C,D)""","Consumer,Software & Technology,BFSI & Fintech",,$50M,$15M,$70M,"David Ma,Tom Sinclair","Cleartax,MPL,Moglix",https://www.sea.com/,HKG,,,"Composite Capital was a $bn hedge fund based in Hong Kong, led by David Ma. In 2021, Singapore-based Sea (owner of Shopee) acquired it and launched Sea Capital, with David Ma as CIO. In 2023, it decided to wind-down Sea Capital, while partners remain onboard till investments are liquidated.",05-05-22 | Sea Capital / Composite Capital,,checked,,checked,,Inactive,,"Consumer,Software & Technology,BFSI & Fintech"
SEA Fund,,,Venture Capital,"Seed,""Early (A,B)""",,,,,,Manoj Kumar Agarwal,,,,,,,,,,,,,,,
Sealink Capital,,,Private Equity,"""Mid (B,C)"",""Growth (C,D)""","Healthcare & Lifesciences,EV & Mobility,Supply chain & Logistics,Consumer,Industrials,BFSI & Fintech",,,$25M,,Heramb Hajarnavis,"THB,Clove Dental",https://sealinkcap.com/,BOM,,,Sector Focus: digital/ business services and healthcare services.,,,,,,?THB,,,Diversified
Season Two Ventures,,,Venture Capital,"Seed,""Early (A,B)""",,,,,,Sajan Pillai,,,,,,,,,,,,,,,
Seatown,,,Crossover,"""Early (A,B)"",""Mid (B,C)"",""Growth (C,D)"",Late Growth (>$500M),Public Markets","BFSI & Fintech,Healthcare & Lifesciences,Consumer,Software & Technology,EV & Mobility,Impact/ESG",,,,,"Eddie Ong,Wee Yap Yeo",,https://www.seatowninternational.com/,SIN,,,"Singapore based alt inv firm, owned by Temasek's asset management group, AUM $4bn.
- multi-asset and public credit strategies through open-end funds and private inv strategies in closed-end funds. 
- bottom-up fundamental, value-oriented approach and primarily invests in credit and macro strategies.
No India investments.",,,,,,,,,Diversified
Seed Fund,,,Venture Capital,Seed,,,,,,,Level10,,,,,,,,,,,?Level10,,,
Segantii Capital,,,Venture Capital,Late Growth (>$500M),,,,,,Simon Sadler,"Swiggy,Ola",https://www.segantii.com/,"HKG,London,UAE",,,"Global, multi-strategy investment management firm with $4.8bn AUM. HKG based.",,,,,,Swiggy?Dunzo,,,
Sequoia Surge,,,Venture Capital,Seed,"Consumer,Software & Technology,BFSI & Fintech,Impact/ESG",,$1-2M,$500K,$2M,"Rajan Anandan,Vedant Trivedi,Anandamoy Roychowdhary,Kaustubh Mundra","Apnaklub,Classplus,Procol,Klub,Nexprt,Lambdatest",,"BOM,DEL,BLR",,,,13-10-22 | Sequoia Surge,"23-03-22 | Sequoia Surge?Futwork,23-03-22 | Sequoia Surge?Rizort,14-10-22 | Sequoia Surge?Aerem",,,,"?Apnaklub, ?Classplus, ?Procol, Klub?Procol, Nexprt?Wizcommerce, ?Lambdatest",,,"Consumer,Software & Technology,BFSI & Fintech,Impact/ESG"
Seraphim Space Investment,,,Venture Capital,"""Early (A,B)""",Software & Technology,,,,,,Pixxel,,,,,,,,,,,?Pixxel,,,Software & Technology
Seraphim Ventures Private Limited,,,,Seed,,,,,,,,,,,,,,,,,,,,,
SevenTrainVentures,,,Venture Capital,"""Early (A,B)"",Late Growth (>$500M)","Software & Technology,Consumer,EV & Mobility,BFSI & Fintech,Edtech & Upskilling",,$30M,$15M,$50M,Vikal Kapoor,Droom,https://www.seventrainventures.com/,NYC,,,"co-invest with top-decile investors.
main areas: AI/ML, Intelligent automation, cybersecurity, quantum computing, managed marketplaces and deep data, analytics & infra.
Fintech, Capital Markets, eCommerce, Proptech, Contech, Platforms, SaaS, AI, DLT/Blockchain, Cybersecurity and EdTech.",,,,,,Droom?Spinny,,,Diversified
SGH Capital,,,Venture Capital,"Seed,""Early (A,B)""",,,,,,Alexandre Azoulay,,,,,,,,,,,,,,,
SGInnovate,,,,"Seed,""Early (A,B)""",,,,,,,Tricog,,,,,,,,,,,?Tricog,,,
Shasta Ventures,,,,"Seed,""Early (A,B)""",,,,,,Rob Coneybeer,,,,,,,,,,,,,,,
Sheela Group,,,Corporate BSheet,"""Growth (C,D)""",Consumer,,,,,Davinder Ahuja,Furlenco,https://www.sheelafoam.com/,DEL,,,"India's leading manufacturer of home mattress, with flagship brand, Sleepwell.  
In July 2023, Sheela Foam acquired a 35% stake in House of Kieraya Pvt. Ltd., the parent company of Furlenco, for approx ?300 crore, aiming to enter the fast-growing branded furniture market.  Subsequently, in October 2024, the company increased its stake in Furlenco by an additional 10.5% for ?107 crore, reinforcing its commitment to expanding within the furniture sector.  ",,,checked,,,,Active,,
Shell Ventures,,,Corporate VC,"""Early (A,B)""",,,,,,,,,,,,,,,,,,,,,
Shinhan Venture Investment,,,Corporate VC,"""Early (A,B)"",""Mid (B,C)""","Consumer,Software & Technology,Healthcare & Lifesciences,BFSI & Fintech,EV & Mobility,Supply chain & Logistics,Edtech & Upskilling,Agritech",,,,,Jae Ho Cho,"Ninjacart,Licious,Bira 91",https://www.shinhanvc.com/en,Korea,,,"VC & M&A arm of Shinhan Group, a financial conglomerate in S.Korea.
Focuses on investing in promising domestic and international companies across technology, healthcare, and consumer goods.",,,,,,,,,"Consumer,Software & Technology,Healthcare & Lifesciences,BFSI & Fintech,EV & Mobility,Supply chain & Logistics,Edtech & Upskilling,Agritech"
Shivkumar Ganesan,,,Super Angel or Angel Fund,"""Early (A,B)""",,,,,,,Futwork,,BLR,,,,,,,,,?Futwork,,,
Shooting Star,,,Venture Capital,"""Early (A,B)""",,,,,,Abhinav Bindra,,,,,,,,,,,,,,,
Shorelight,,,Corporate BSheet,"""Mid (B,C)""",Edtech & Upskilling,,,,,Adam Packer,LeverageEdu,https://shorelight.com/,USA (other),,,"Boston based leading international student marketplace. Platform connects international students, universities and service providers. ",,,,,,LeverageEdu?Leverage.biz,Active,,
Siana Capital,,,Venture Capital,"""Early (A,B)""",,,,,,"Dinesh Goel,Varun Kapoor",,,,,,"Arpit: Took 12 intros, didn't invest in any.",,"21-11-22 | Siana Capital?Ati Motors,21-11-22 | Siana Capital?Zapscale,21-11-22 | Siana Capital?Zipy,21-11-22 | Siana Capital?Rocketium,21-11-22 | Siana Capital?Freightify (BFF),21-11-22 | Siana Capital?Sprinto,21-11-22 | Siana Capital?Wizcommerce,21-11-22 | Siana Capital?THB,21-11-22 | Siana Capital?Bureau,21-11-22 | Siana Capital?BlueCopa,21-11-22 | Siana Capital?Scribble Data,21-11-22 | Siana Capital?GreytHR,21-11-22 | Siana Capital?Dataweave,21-11-22 | Siana Capital?Rocketium,24-04-23 | Siana Capital?Procol,21-11-22 | Siana Capital?Dataweave",,,,,,,
SIDBI,,Existing LP,Sovereign Entity,,,,,,,Dilip R.V. Kumar,,,,,,,,,,,,,Active,,
Sierra Ventures,,,Venture Capital,"""Early (A,B)"",Seed","BFSI & Fintech,Software & Technology",,$5M,$3M,$10M,"Ben Yu,Mark Fernandes,Vignesh Ravikumar",,,SFO,,,"- $220M Seed to Series A Fund
- Swim lanes are:
    - SaaS and Software infrastructure
    - Fintech
    - Vertical: healthcare and climate
- Did B2C in an earlier avataar of the fund (MMYT)
- Investment include Clip (Square for Latam) 

Connect to BlueCopa, Bureau, Scribble, Idfy, Zipy, Zapscale",14-09-22 | Sierra Ventures,"26-09-22 | Sierra Ventures?Zapscale,26-09-22 | Sierra Ventures?Scribble Data,04-04-23 | Sierra Ventures?Rocketium",,,,,,,"BFSI & Fintech,Software & Technology"
Sify Ventures,,,Corporate VC,Seed,,,,,,JT McLain,,,,,,,,,,,,,,,
SIG Venture Capital,TG 1 ($100-500M),,Private Equity,"""Mid (B,C)"",""Growth (C,D)""","Consumer,Edtech & Upskilling,Healthcare & Lifesciences,Agritech,BFSI & Fintech",Credit/Lending,$10M,$5M,$30M,"Bhavani Rana,Abhilash Karri,Sai Araveti,Shishir Sharma","Doubtnut,Turtlemint,Animall,Entropik,HealthPlix,inshorts,Otipy,MPL,Shuttl,Wakefit",https://sig-asiavc.com/,BLR,,,"Global background:
- Different funds for different geographies (India, China, US, SE Asia, etc.)
- US fund began in 2006 - Focus only on growth investments (key invt. - HighRadius)
- China fund: Does seed to Series A stage. 150+ cos. (key invt - TikTok, largest shareholder). Operations are strained currently as capital is flowing from the US and there are restrictions on China investments.

India Background:
- Started in 2019. AIF investments, not SIG BS.
- Series A and onwards, including follow-ons
- Typically $6-8 mn Series A, $12-15 mn Series B, thereon undetermined. Can also do small upto $1 mn, and as high as $30-40 mn. Long-term holding period, as single org. capital.
- Bhavani leads India practice. Earlier Bhavani and Sai ? team expanded to 5 people all based in BLR now.
- Sectors of interest: Somewhat agnostic, but like technology, venture business without tech are a hard-sell internally. Need a strong tech backbone. Sector-agnostic, but dislike lending businesses unless its' a software play (e.g. 42 Cards, Lentra).

- Sai: Fintech, Agritech, Crypto, Web3, 
- Shishir/Aastha: Healthtech, Edtech
- Abhilash/Aastha: Consumer internet & B2Bx","25-02-22 | SIG Venture Capital,15-05-24 | SIG Venture Capital","25-02-22 | SIG Venture Capital?LoveLocal,02-04-22 | SIG Venture Capital?Ati Motors,02-04-22 | SIG Venture Capital?Bureau,02-04-22 | SIG Venture Capital?Rocketium,02-04-22 | SIG Venture Capital?Scribble Data,05-09-22 | SIG Venture Capital?Tricog,19-09-22 | SIG Venture Capital?Enumerate,19-09-22 | SIG Venture Capital?Living Food,19-09-22 | SIG Venture Capital?Money Club (BFF),19-09-22 | SIG Venture Capital?Multipl,19-09-22 | SIG Venture Capital?Pulse,19-09-22 | SIG Venture Capital?Zapscale,19-09-22 | SIG Venture Capital?Zipy,19-09-22 | SIG Venture Capital?BlueCopa,19-09-22 | SIG Venture Capital?Monrow,23-05-24 | SIG Venture Capital?Bureau,20-05-24 | SIG Venture Capital?Grey Orange,23-05-24 | SIG Venture Capital?Leverage.biz,16-05-24 | SIG Venture Capital?Euler Motors,23-10-24 | SIG Venture Capital?DPDZero,23-10-24 | SIG Venture Capital?Procol,28-02-24 | SIG Venture Capital?ChefKart,28-02-24 | SIG Venture Capital?Stellapps,28-02-24 | SIG Venture Capital?Tricog,28-02-24 | SIG Venture Capital?Vecmocon",,,checked,"Doubtnut?Unacademy, ?Turtlemint",,Medium,"Consumer,Edtech & Upskilling,Healthcare & Lifesciences,Agritech,BFSI & Fintech"
Siguler Guff,TG 1 ($100-500M),,Private Equity,"""Mid (B,C)"",""Growth (C,D)"",Late Growth (>$500M)","Consumer,Healthcare & Lifesciences,Software & Technology,BFSI & Fintech",,$50M,$10M,$100M,"Roman Simonov,Jun Isoda,Shaun Khubchandani ","Plum Cosmetics,DailyHunt,Manappuram Finance",https://www.sigulerguff.com/,"NYC,BOM",,,"Global private with $16 Bn AUM across multiple strategies - Private investments in both funds & companies in emerging markets, small business buyout in US, credit solutions, distressed/special situations.",,,checked,,,Plum Cosmetics?Purplle,,,"Consumer,Healthcare & Lifesciences,Software & Technology,BFSI & Fintech"
Silicon Road,,,Venture Capital,"Seed,""Early (A,B)""",,,,,,Ross Kimbel,,,,,,,,,,,,,,,
Silicon Valley Bank,,,Venture Capital,"Seed,""Early (A,B)"",""Mid (B,C)"",""Growth (C,D)"",Late Growth (>$500M)","Software & Technology,BFSI & Fintech,Healthcare & Lifesciences",,,,,"Andy Tsao,Natalie Lescure",Icertis,https://www.svb.com/,SFO,,,"SVB Capital specializes in venture capital investments, fund of funds, and direct investments in high-growth startups",,15-06-22 | Silicon Valley Bank?Sprinto,,,checked,,Inactive,,Diversified
Silver Lake,TG 2 ($500M+),,Private Equity,Late Growth (>$500M),"Consumer,Software & Technology,Edtech & Upskilling,BFSI & Fintech,EV & Mobility,RE & Infra,Healthcare & Lifesciences",,,,,"Chip Schroeder,Abhinav parakh,Greg Mondre,Egon Durban","Noom,Byju's,Reliance Retail",https://www.silverlake.com/,"NYC,SIN,SFO",,,"American PE with $100B+ AUM, focusing on tech & tech-enabled cos. Mainly SaaS & deep-tech investments (with an element of other sectors).",,,checked,,,"Noom?Healthify, Byju's?Unacademy",,,Diversified
SILVER LAKE WATERMAN,,,Venture Capital,"""Growth (C,D)"",Late Growth (>$500M)","Software & Technology,BFSI & Fintech,Healthcare & Lifesciences,Consumer,EV & Mobility",,,,,"Brian Crews,Brian Mitchell ,Alexander Bellaus","Byju's,Reliance Jio",https://www.silverlake.com/,"NYC,California,London,SIN",,,"SaaS only focus. Need US revenues. Can do large checks
$104bn AUM. Silver Lake Waterman: Flexibly Structured Investments in Pre-IPO Companies

* $1B in Fund III (from managing partners at operating exec) at Silver Lake
* Right size across life cycle of the company
* Leading equity rounds, participate in series B and C with small checks, don’t look to play with sharp elbows, happy to work with leading VCs on a as invited basis
* What else can we do? 5-6 year flex notes (debt but junior bank facility; used to be SVB now JPM), interest deferred and small warrant attached.
* Make a series of investments over the life cycle.
* Starting point of $10-20M in SaaS revenues
* Most companies in the US, 90% software, 10/20% hybrid hardware and software",,27-03-23 | SILVER LAKE WATERMAN?Lambdatest,,,checked,Byju's?Unacademy,,,Diversified
Silver Trail Ventures,,,Venture Capital,,,,,,,Arvind Sodhani,,,,,,,,,,,,,,,
Silvergate Investments 2,,,Venture Capital,"Seed,""Early (A,B)""",,,,,,Lord Waheed Alli,,,,,,,,,,,,,,,
Simile,,,Venture Capital,"Seed,""Early (A,B)""",,,,,,Tatiana Kim,Spinny,,,,,,,"18-02-21 | Simile?Futwork,19-09-22 | Simile?Alippo",,,,?Spinny,,,
Sinai Ventures,,,,"Seed,""Early (A,B)""",,,,,,,,,,,,,,,,,,,,,
Sinarmas Tech,,,,"""Early (A,B)""",,,,,,Eshan kaul,,,,,,,,"12-07-23 | Sinarmas Tech?Futwork,12-07-23 | Sinarmas Tech?Futwork,17-07-23 | Sinarmas Tech?Printo",,,,,,,
Singapore Angel Network,,,Venture Capital,Seed,,,,,,Satveer Singh Thakral,,,,,,,,,,,,,,,
Singularity Growth,TG 1 ($100-500M),,Venture Capital,"""Mid (B,C)"",""Growth (C,D)""","Consumer,Software & Technology",,$5M,$3M,$10M,"Nishchal Mittal,Sahil Gala","Exotel,Servify,Webengage",https://singularityamc.com/,BOM,,,"""Growth capital orientation"" where PMF is fixed but companies are unloved. 
- ?600cr fund, 6+1 years
- 1% fee x 6 years + 2% expenses so Investible Capital is 92% of total

Investments: Exotel, Webengage, Servify, MCaffine (D2C brand +40% MOM), XOX6 (underwear)

Series B to D
- ?20-40cr ($3-6M) starting cheques with max ?50cr deployed in a company
- would like to do two rounds
- looking for $1M monthly revenues
- good PMF
- tech and distribution
- people who spend $ well and responsibly
- linearity of valuation with revenues preferably (GARP)
- will be vertical focus
","09-02-22 | Singularity Growth,15-04-24 | Singularity Growth","24-02-22 | Singularity Growth?Jai Kisan,24-02-22 | Singularity Growth?Dataweave,24-02-22 | Singularity Growth?Printo,21-03-22 | Singularity Growth?Procol,02-04-22 | Singularity Growth?Ati Motors,04-04-22 | Singularity Growth?Medfin,16-08-22 | Singularity Growth?THB,16-08-22 | Singularity Growth?BeatO,01-12-23 | Singularity Growth?Dataweave",checked,,checked,"?Exotel, ?Servify, ?Webengage",,Low,"Consumer,Software & Technology"
Singularity Holdings (Madhu Kela FO),TG 1 ($100-500M),,Family Office,"""Early (A,B)"",""Mid (B,C)"",""Growth (C,D)""","Consumer,Software & Technology,BFSI & Fintech,Healthcare & Lifesciences,Supply chain & Logistics",,,,,"Suyash Kela,Yash Kela,Purvi Parkeria","Webengage,Jana SFB,Lohum,Servify,Lambdatest,MCaffeine",https://singularityamc.com/,BOM,,,"Focus on multi-year investment themes within Consumer Goods, B2B and Enterprises SaaS, Fintech and Infra platforms.",04-07-24 | Singularity Holdings (Madhu Kela FO),02-08-23 | Singularity Holdings (Madhu Kela FO)?Virohan,checked,,checked,"?Webengage, Jana SFB?Slice, ?Servify, ?Lambdatest",,,"Consumer,Software & Technology"
Sistema Asia,TG 1 ($100-500M),,Private Equity,"""Early (A,B)"",""Mid (B,C)""","BFSI & Fintech,Software & Technology,Healthcare & Lifesciences,Consumer",,$5M,$5M,$10M,"Tejash Prajapati,Abhilasha Mishra","Rebel Foods,Licious,Netmeds,LendingKart,Uniphore,Kissht,Infra.Market,ANSR,Exotel,Healthifyme,Healthify",https://sistemaasiacapital.com/#Home,SIN,,,"Series late A, B, early C - like mid-stage plays with some momentum and a visible path to exit.
First cheque sizes of $5-10M. Can lead/co-lead or participate depending on the situation. Making investments from our Fund 2 now. We also write select seed cheques now in the range of $500k-1M (will make very few of those maybe 4-6 from the fund for very very interesting companies especially in enterprise space, deeptech and web3.0.",16-12-21 | Sistema Asia,"31-08-21 | Sistema Asia?Ati Motors,31-08-21 | Sistema Asia?BHIVE Workspace,31-08-21 | Sistema Asia?SmartStaff,01-09-21 | Sistema Asia?Cellfish,01-09-21 | Sistema Asia?Medfin,01-09-21 | Sistema Asia?Superset,01-09-21 | Sistema Asia?Winvesta,02-09-21 | Sistema Asia?Airavana,02-09-21 | Sistema Asia?Blend,02-09-21 | Sistema Asia?Unocoin,30-03-21 | Sistema Asia?Kuliza,16-12-21 | Sistema Asia?SmartStaff,16-12-21 | Sistema Asia?Squadstack,21-02-22 | Sistema Asia?Wizcommerce",checked,,checked,"?Exotel, Healthifyme?Healthify, ?Healthify",,,"BFSI & Fintech,Software & Technology,Healthcare & Lifesciences,Consumer"
SiteGround Capital,"TG 1 ($100-500M),TG 2 ($500M+),TG 3 (Pre-IPO)",Existing LP,Venture Capital,"Seed,""Early (A,B)"",""Mid (B,C)"",""Growth (C,D)""",Software & Technology,,,,,"Ivo Tzenov,Tenko Nikolov,Iskra Rasheva,Peter Stanchev,Doroteya Hadzhigeorgieva",,https://world.siteground.com/,"London,Europe (other)",,,"SiteGround is a web hosting services company. It typically invests in technology-based companies and funds.
LP in Blume fund.",,,,,checked,,Active,,Software & Technology
"Sixteenth
  Street Capital",,,Private Equity,"""Mid (B,C)"",""Growth (C,D)""","BFSI & Fintech,Consumer,Agritech",,,,,Rashmi Kwatra,"Swiggy,Cure foods,INDmoney",https://sixteenthstreetcapital.com/,SIN,,,"An investment partnership with a long-term focus investing in Asia’s fastest growing capital markets.
Concentrated fundamental equity portfolio, with limited capacity",,,,,,Swiggy?Dunzo,Active,,Diversified
Sixth Sense Ventures,"TG 1 ($100-500M),TG 2 ($500M+),TG 3 (Pre-IPO)",,Venture Capital,"Seed,""Early (A,B)"",""Mid (B,C)"",""Growth (C,D)"",Late Growth (>$500M),Public Markets","Consumer,Agritech,Healthcare & Lifesciences,EV & Mobility,Supply chain & Logistics,Software & Technology",,$10M,$2M,$30M,"Nikhil Vora,Ketki Paranjpe,Nimisha Nagarsekar,Swati Mehra","Bira 91,Cure.fit,Leap Finance,NSE",https://sixthsenseventures.com/,BOM,,,"Consumption-focussed early-stage fund, but with a flexible mandate to invest across sectors and stage (e.g. has multiple pre-IPO and listed investments) Founded by Nikhil Vora in 2015 (Ex-MD of IDFC Securities). 
AUM of ~3300 Cr across 3 funds. Launching a 4th fund with 2500cr target.

",,"12-08-21 | Sixth Sense Ventures?LBB,16-08-22 | Sixth Sense Ventures?ChefKart,10-04-23 | Sixth Sense Ventures?PescaFresh",checked,,checked,Leap Finance?Leverage.biz,,Medium,Diversified
Sixth Street,,,,,,,,,,Nari Ansari,,,,,,,,,,,,,Active,,
SKG,,,,"""Mid (B,C)""",Industrials,,,,,Vikas Gupta,Polymatech,https://skgah.com/,"DEL,UAE",,,"Bespoke Wealth Management and Investment Banking solutions.
SKG India Value fund is an open ended equity PMS that invests across Small & Mid Cap with a strong focus on SME sector. 
",,,checked,,,,Active,,
SKI Capital,,,,,,,,,,Manick Wadhwa,,,,,,,04-07-23 | SKI Capital,,,,,,,,
Skywalker (FO),,,Family Office,Late Growth (>$500M),"Software & Technology,Impact/ESG,Edtech & Upskilling,Healthcare & Lifesciences,Consumer",,,,,Ram Padiyath,Veeda Clinical Research,https://www.skywalker.net.in/,GIFT,,,"Privately owned family office for the Rubamin group advising on investments in startups focused on deep technology, space technology, education technology, clean energy, climate technology, etc. saas, fintech, healthtech, consumer tech and brands, Lithium Battery Recycling.
Portfolio: 3one4 capital, avendus, alteria, epiq, fireside, chiratae, multiples, sixthsense.",,,,,,,,,Diversified
SMBC Asia Rising Fund,,,Corporate VC,"Seed,""Early (A,B)""",BFSI & Fintech,,,,,Mayoran Rajendra,"Vayana,Drip Capital",,"Japan,SIN",,,"CVC of Sumitomo Mitsui Banking Corporation (SMBC Group, an FS conglomerate in Japan), with Incubate Fund Asia as the fund manager.",,,checked,,,,,,BFSI & Fintech
Smile Group,TG 1 ($100-500M),,Venture Capital,"Seed,""Early (A,B)"",""Mid (B,C)"",""Growth (C,D)"",Late Growth (>$500M)","Software & Technology,Consumer,BFSI & Fintech,EV & Mobility,Agritech",,,,,Harish Bahl,"Swiggy,Rapido,Bira 91",https://smile.group/,"SIN,DEL",,,"Leading internet firm in Asia. Smile Group’s investment arm is a stage agnostic investor in disruptive tech companies. Investment holdings in global consumer internet and software companies.
VentureBuilder (HQ Delhi) is an arm of Smile Group which supports early stage businesses.",,,,,,"Swiggy?Dunzo, Rapido?Yulu",,,Diversified
Snapchat,,,,,,,,,,Ajit Mohan,Spinny,,,,,,,,,,,?Spinny,Active,,
Snow Leopard Ventures,,,Venture Capital,"Seed,""Early (A,B)""",,,,,,Christopher Leigh Kolenaty,Jai Kisan,,,,,,,,,,,?Jai Kisan,,,
Social Capital,,,Venture Capital,"Seed,""Early (A,B)""",,,,,,,Webengage,,,,,,,,,,,?Webengage,,,
Sofina,"TG 1 ($100-500M),TG 2 ($500M+)",,Private Equity,"""Mid (B,C)"",""Growth (C,D)"",Late Growth (>$500M)","Consumer,BFSI & Fintech,Impact/ESG,Software & Technology,Edtech & Upskilling,Agritech,EV & Mobility",,$30M,$20M,$50M,"Maxence Tombeur,Tanya Sen,Vaibhav Garg","Byju's,Credgenics,DeHaat",https://www.sofinagroup.com/,SIN,,,"- Global private equity firm, based in Belgium and listed on the Brussels stock exchange.
- Invests across USA, Europe and Asia
- Continue to be biased towards their GPs. Historically Tiger and Sequoia are their GP positions in venture.
- $20-50 mill sweet spot (very rare that they will do the latter without history / GP relationship / large co-lead / lead)
- Keen on $150-$500 mill range, or larger rounds in >$500 mill","28-10-22 | Sofina,25-04-24 | Sofina","23-03-22 | Sofina?BatterySmart,23-03-22 | Sofina?Pixxel,23-03-22 | Sofina?Stellapps,23-03-22 | Sofina?Unocoin,23-03-22 | Sofina?Uolo,23-03-22 | Sofina?Leverage.biz,02-04-22 | Sofina?Idfy,13-07-22 | Sofina?Ultrahuman,18-10-22 | Sofina?Bureau,18-10-22 | Sofina?Exotel,28-10-22 | Sofina?Idfy,11-04-23 | Sofina?Grey Orange,17-04-23 | Sofina?Sprinto,20-04-23 | Sofina?Classplus,29-06-23 | Sofina?Virohan,29-06-23 | Sofina?Intrcity,29-06-23 | Sofina?Servify",checked,,checked,"Byju's?Unacademy, Credgenics?Squadstack, DeHaat?Jai Kisan",,Medium,Diversified
Softbank,"TG 1 ($100-500M),TG 2 ($500M+),TG 3 (Pre-IPO)",,Private Equity,"""Growth (C,D)"",Late Growth (>$500M),""Mid (B,C)""","Software & Technology,BFSI & Fintech,Consumer,EV & Mobility,RE & Infra,Healthcare & Lifesciences,Edtech & Upskilling",,,,,"Sumer Juneja,Narendra Rathi,Sarthak Mishra,Raman Nanda,Zoravar Gill,Chirag Jasani","Cars24,Unacademy,Ultrahuman,Uber,WeWork,Ola Electric,Oyo,Whatfix,Swiggy,Lenskart,Meesho",https://group.softbank/en,"Tokyo,NYC,SFO,London,BOM",,,"*Started as a software distributor in Japan and evolved into a global investment holding company. Best known for its Vision Fund, the largest tech VC globally.
*India Focus:
- Sector agnostic
- Entry at $40-50m+ ARR, potential IPO candidates 
- Pre IPO Deals - Ola Electric, Oyo, Swiggy
- No new investments since late-2022",22-11-24 | Softbank,"23-03-22 | Softbank?Pixxel,23-03-22 | Softbank?STAGE,23-03-22 | Softbank?THB,23-03-22 | Softbank?Tricog,23-03-22 | Softbank?Unocoin,23-03-22 | Softbank?Webengage,02-04-22 | Softbank?Idfy,02-04-22 | Softbank?Leverage.biz,02-04-22 | Softbank?Autoverse,02-04-22 | Softbank?Rocketium,02-04-22 | Softbank?Zipy,10-08-22 | Softbank?Carbon Clean,28-02-24 | Softbank?Lambdatest,28-02-24 | Softbank?Zopper",checked,,checked,"Cars24?Spinny, ?Unacademy, ?Ultrahuman, Ola Electric?Euler Motors, Swiggy?Dunzo",,High,Diversified
Sojitz,TG 1 ($100-500M),,Corporate VC,"""Early (A,B)"",""Mid (B,C)""","Consumer,Software & Technology,Agritech,Supply chain & Logistics,EV & Mobility,Impact/ESG",,$10M,,,Anis Uzzaman,"RIPPLR,Ricult,Archean Group,Shuttl,Licious",https://www.sojitz.com/en/,"Japan,USA (other),California",,,"Japanese trading company with a diversified portfolio across industries such as chemicals, machinery, and energy.
Recent Investments: Only one - $12 mn in Ripplr in 2023
Older (>3yr): Licious, Shuttl, backed 3One4's Continuum Fund I.",,,checked,,,,,Medium,Diversified
Solidarity Advisors,,,Fund-of-Funds or LP,"Seed,""Early (A,B)""",,,,,,Manish Gupta (Solidarity),,,,,,,,,,,,,,,
Soma Capital,,,Venture Capital,"Seed,""Early (A,B)""",,,,,,"Aneel Ranadive,Mir Faiyaz",,,,,,,,,,,,,,,
Sony Innovation Fund,,,Corporate VC,"Seed,""Early (A,B)""",,,,,,Gen Tsuchikawa,Tricog,,,,,,,,,,,?Tricog,,,
Sorenson Capital,"TG 1 ($100-500M),TG 2 ($500M+)",,Venture Capital,"""Growth (C,D)"",Late Growth (>$500M),""Early (A,B)"",""Mid (B,C)""","Healthcare & Lifesciences,Software & Technology","Consumer brands,BFSI & Fintech",$10M,$10M,$15M,Vidya Raman,"Acceldata,Safe Security",https://www.sorensoncapital.com/,"USA (other),California",,,"Series B and up (invested in Uniphor)
Concentrates only on (B2B software businesses) AL/ML, analytics, application software, cybersec, infra SaaS (devtools, computing) from early stage to pre-IPO.

",,,checked,,checked,,,,"Healthcare & Lifesciences,Software & Technology"
Sorenson Ventures,,,Venture Capital,"""Early (A,B)""",Software & Technology,"Consumer brands,BFSI & Fintech",$2-3M,$5M,$3M,Vidya Raman,,,SFO,,,"Focus areas as a refresher:
- Infrastructure tools, i.e., tools for technical people. Bonus points for open source offerings.
- Check size range: 2M-6M. Valuation preference < 50M.
- Preference is for company to have customers.",,,,,checked,,,,Software & Technology
